GEOID,scag_coverage_pct,scag_parcel_count,lac_coverage_pct,lac_parcel_count,coverage_diff
060371174041,1.28,5,5.17,7,3.8899999999999997
060371174042,2.7,6,1.08,2,1.62
060371174043,3.2,11,3.98,12,0.7799999999999998
060371174051,0.0,0,0.0,0,0.0
060371174052,26.63,10,21.36,10,5.27
060371174071,33.36,10,25.72,7,7.640000000000001
060371174072,0.0,0,0.0,0,0.0
060371174081,22.28,35,28.55,36,6.27
060371175101,31.17,9,36.79,10,5.619999999999997
060371175102,0.0,0,0.0,0,0.0
060371175103,0.0,0,0.0,0,0.0
060371175201,0.43,1,0.0,0,0.43
060371175202,10.83,13,27.56,23,16.729999999999997
060371175301,35.4,14,37.83,14,2.4299999999999997
060371175302,0.0,0,0.0,0,0.0
060371175303,16.52,22,16.04,19,0.4800000000000004
060371175304,7.58,3,13.44,5,5.859999999999999
060371190011,0.0,0,0.0,0,0.0
060371190012,0.32,3,0.0,0,0.32
060371190031,0.46,2,0.0,0,0.46
060371190032,0.0,0,0.0,0,0.0
060371190033,2.84,6,4.8,8,1.96
060371190041,1.62,7,1.62,7,0.0
060371190042,3.02,6,1.91,6,1.11
060371192011,0.0,0,0.0,0,0.0
060371192012,0.0,0,0.0,0,0.0
060371192013,0.58,2,18.53,5,17.950000000000003
060371192021,17.75,5,17.75,4,0.0
060371192022,0.0,0,0.0,0,0.0
060371192023,2.51,10,1.21,10,1.2999999999999998
060371193101,100.0,33,4.32,5,95.68
060371193102,100.0,91,2.69,6,97.31
060371193201,2.21,1,6.24,4,4.03
060371193202,3.56,2,1.08,1,2.48
060371193203,0.32,1,0.0,0,0.32
060371193401,0.0,0,0.0,0,0.0
060371193402,12.64,5,5.99,3,6.65
060371193411,4.45,8,6.14,10,1.6899999999999995
060371193421,0.0,0,0.0,0,0.0
060371193422,100.0,75,2.16,2,97.84
060371194001,0.0,0,0.0,0,0.0
060371194002,0.0,0,0.0,0,0.0
060371194003,2.27,8,3.59,11,1.3199999999999998
060371197001,1.28,2,0.0,0,1.28
060371197002,1.86,5,3.92,5,2.0599999999999996
060371197003,0.17,1,0.0,0,0.17
060371198011,0.24,1,0.0,0,0.24
060371198012,6.15,8,4.42,8,1.7300000000000004
060371198021,4.59,10,4.43,9,0.16000000000000014
060371198022,0.84,3,0.0,0,0.84
060371199001,8.92,16,9.63,20,0.7100000000000009
060371199002,0.0,0,0.0,0,0.0
060371199003,0.0,0,0.0,0,0.0
060371200101,5.27,14,7.23,16,1.9600000000000009
060371200102,11.53,2,0.0,0,11.53
060371200201,2.71,2,2.27,2,0.43999999999999995
060371200202,8.31,7,30.18,22,21.869999999999997
060371200301,8.78,9,8.18,17,0.5999999999999996
060371201031,21.63,12,26.41,15,4.780000000000001
060371201032,7.26,4,4.0,4,3.26
060371201041,48.92,34,56.12,40,7.199999999999996
060371201051,11.07,25,17.11,24,6.039999999999999
060371201052,19.64,8,22.09,10,2.4499999999999993
060371201061,0.0,0,0.0,0,0.0
060371201062,0.0,0,0.0,0,0.0
060371201063,0.0,0,0.0,0,0.0
060371201071,6.46,1,6.46,1,0.0
060371201072,0.0,0,0.0,0,0.0
060371201081,0.0,0,0.0,0,0.0
060371201082,0.0,0,0.0,0,0.0
060371203001,0.34,1,0.0,0,0.34
060371203002,0.0,0,0.0,0,0.0
060371203003,14.05,29,27.61,39,13.559999999999999
060371203004,0.63,3,0.0,0,0.63
060371204001,8.46,9,1.06,3,7.4
060371204002,5.59,7,12.97,8,7.380000000000001
060371204003,10.32,13,10.18,13,0.14000000000000057
060371210101,0.3,1,2.15,1,1.8499999999999999
060371210102,9.86,14,8.59,11,1.2699999999999996
060371210103,0.0,0,0.51,1,0.51
060371210104,0.85,4,1.44,7,0.59
060371210201,6.45,5,1.48,1,4.970000000000001
060371210202,0.6,3,0.47,2,0.13
060371211011,6.15,9,7.23,10,1.08
060371211012,10.71,12,10.95,12,0.23999999999999844
060371211021,11.52,59,2.92,87,8.6
060371211022,3.11,10,2.87,17,0.23999999999999977
060371211023,13.81,31,8.93,29,4.880000000000001
060371212101,6.1,14,6.07,16,0.02999999999999936
060371212102,2.05,6,1.44,4,0.6099999999999999
060371212211,0.0,0,0.0,0,0.0
060371212212,0.6,1,0.0,0,0.6
060371212221,9.32,5,4.12,2,5.2
060371212222,0.56,2,0.92,5,0.36
060371212223,3.69,17,7.16,39,3.47
060371216001,0.1,1,0.42,1,0.31999999999999995
060371216002,2.91,6,3.76,6,0.8499999999999996
060371218011,3.69,4,4.21,6,0.52
060371218012,93.72,53,0.71,1,93.01
060371218021,9.0,18,6.38,18,2.62
